% Model:              2Au_spheres_on_silicon_wl_dsweep_2nmgap_400nm_500nm.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 7 2021, 08:52
% Table:              Result - Global Evaluation 1 (sigma_ext, sigma_abs, sigma_sc)
% wl (nm)                                         d_gsp (nm)                                        freq (GHz)                                        Wavelength (nm), Point: 47                        Electric field norm (V/m), Point: 47              Electric field norm (V/m), Point: 47              Electric field norm (V/m), Point: 47              ewfd2.normE / ewfd3.normE (1), Point: 47          Extinction cross section (um^2)                   Absorption cross section (um^2)                   Scattering cross section (um^2)
424.99999999999994                                1.9999999999999998                                705394.0188235296                                 424.99999999999994                                4.465271347951441E7                               3.4466911224879944E8                              4.449237695808515E7                               7.746700352141249                                 0.014318192950262291                              0.011987686445780434                              0.002330506504481856
424.99999999999994                                4.999999999999999                                 705394.0188235296                                 424.99999999999994                                4.465003281781406E7                               2.6091693739764693E8                              4.4494897883364655E7                              5.863974293897552                                 0.014849572817443263                              0.012352899091724566                              0.0024966737257186987
424.99999999999994                                9.999999999999998                                 705394.0188235296                                 424.99999999999994                                4.464332594131397E7                               1.8222660163470685E8                              4.449955972818867E7                               4.095020327117386                                 0.015234898865153038                              0.012652550451183025                              0.002582348413970015
424.99999999999994                                19.999999999999996                                705394.0188235296                                 424.99999999999994                                4.4664336348357454E7                              1.2064920462687093E8                              4.451034065006284E7                               2.710588210847598                                 0.015279782096813882                              0.01277277086749434                               0.0025070112293195425
424.99999999999994                                50                                                705394.0188235296                                 424.99999999999994                                4.466556400276868E7                               6.47927799320713E7                                4.451207534164372E7                               1.455622534666537                                 0.01485665302642707                               0.012643641312554651                              0.002213011713872419
474.99999999999994                                1.9999999999999998                                631142.0168421053                                 474.9999999999999                                 3.729392201020627E7                               2.366270660835735E8                               4.068893799935403E7                               5.815513447102752                                 0.010921626867870925                              0.009574683121529927                              0.0013469437463409957
474.99999999999994                                4.999999999999999                                 631142.0168421053                                 474.9999999999999                                 3.729473423803048E7                               1.9782651740558067E8                              4.068721012775318E7                               4.862130305430823                                 0.01133126410666433                               0.009896029587248195                              0.0014352345194161356
474.99999999999994                                9.999999999999998                                 631142.0168421053                                 474.9999999999999                                 3.72941639300757E7                                1.4381374915496433E8                              4.068937224901853E7                               3.534430275179123                                 0.011721853056045756                              0.010221853883056775                              0.0014999991729889807
474.99999999999994                                19.999999999999996                                631142.0168421053                                 474.9999999999999                                 3.729682555971596E7                               9.62348603948554E7                                4.0696267259307794E7                              2.364709760275254                                 0.0119087851188216                                0.010420637834107262                              0.0014881472847143374
474.99999999999994                                50                                                631142.0168421053                                 474.9999999999999                                 3.7324245743658215E7                              5.2470797319368504E7                              4.071755981559193E7                               1.2886527964103565                                0.011830010775076907                              0.010525949115007831                              0.0013040616600690773
525                                               1.9999999999999998                                571033.2533333333                                 525                                               3.2096922657745652E7                              7.639804395341399E8                               3.748370593295624E7                               20.381667727854964                                0.012968861368151362                              0.010784292538533117                              0.002184568829618246
525                                               4.999999999999999                                 571033.2533333333                                 525                                               3.2103139711621415E7                              4.539737140292328E8                               3.748308765233863E7                               12.111427912233603                                0.013134791815334853                              0.01079100111325621                               0.002343790702078644
525                                               9.999999999999998                                 571033.2533333333                                 525                                               3.2100773448434394E7                              2.6992234272874105E8                              3.7489308729722306E7                              7.199981858154162                                 0.01492705732211154                               0.011903664920247168                              0.0030233924018643714
525                                               19.999999999999996                                571033.2533333333                                 525                                               3.211537011321772E7                               1.4891208678257045E8                              3.7486984820351735E7                              3.9723676763068414                                0.017053136919069463                              0.013490232405109598                              0.0035629045139598634
525                                               50                                                571033.2533333333                                 525                                               3.211192399529605E7                               5.978333441595839E7                               3.751804515387785E7                               1.593455473779641                                 0.018153224979442436                              0.014702877938478362                              0.003450347040964075
574.9999999999999                                 1.9999999999999998                                521378.18782608694                                574.9999999999999                                 2.8173752409475897E7                              2.819129110677057E9                               3.475389760914919E7                               81.11691938503331                                 0.011144252746950216                              0.009211051903556115                              0.0019332008433941006
